N d1 d2 d3
1 8.000000 5.000000 4.000000
2 11.764706 6.470588 4.941176
3 16.121827 7.791878 5.705584
4 21.063239 8.946015 6.311568
5 26.557500 9.926108 6.780364
6 32.553917 10.735782 7.134416
7 38.988903 11.387290 7.395716
8 45.793083 11.898771 7.584442
9 52.897727 12.291327 7.718075
10 60.239560 12.586497 7.811022
11 67.763633 12.804410 7.874655
12 75.424443 12.962699 7.917619
13 83.185759 13.076049 7.946282
14 91.019648 13.156211 7.965207
15 98.905151 13.212288 7.977594
16 106.826886 13.251146 7.985640
17 114.773773 13.277848 7.990835
18 122.737954 13.296065 7.994171
19 130.713931 13.308414 7.996303
20 138.697896 13.316739 7.997661
