N d1 d2 d3
1 0.470588 0.294118 0.235294
2 0.690355 0.431472 0.345178
3 0.810283 0.506427 0.405141
4 0.881037 0.550648 0.440519
5 0.924557 0.577848 0.462278
6 0.951925 0.594953 0.475963
7 0.969329 0.605831 0.484665
8 0.980448 0.612780 0.490224
9 0.987558 0.617224 0.493779
10 0.992099 0.620062 0.496050
11 0.994995 0.621872 0.497497
12 0.996835 0.623022 0.498418
13 0.998003 0.623752 0.499002
14 0.998742 0.624214 0.499371
15 0.999209 0.624505 0.499604
16 0.999503 0.624689 0.499751
17 0.999688 0.624805 0.499844
18 0.999804 0.624878 0.499902
19 0.999877 0.624923 0.499939
20 0.999923 0.624952 0.499962
